"","PDGFNS3_aligned.bam"
"ENSRNOG00000066169",1
"ENSRNOG00000070168",0
"ENSRNOG00000070901",966
"ENSRNOG00000018029",8
"ENSRNOG00000031391",0
"ENSRNOG00000055342",0
"ENSRNOG00000068698",140
"ENSRNOG00000067904",0
"ENSRNOG00000063979",0
"ENSRNOG00000064851",6
"ENSRNOG00000063562",0
"ENSRNOG00000050129",0
"ENSRNOG00000056886",0
"ENSRNOG00000032625",170
"ENSRNOG00000029315",83
"ENSRNOG00000016356",2346
"ENSRNOG00000028288",2
"ENSRNOG00000015810",86
"ENSRNOG00000017538",174
"ENSRNOG00000027204",2955
"ENSRNOG00000058651",4
"ENSRNOG00000070886",1083
"ENSRNOG00000056005",0
"ENSRNOG00000035453",0
"ENSRNOG00000063396",0
"ENSRNOG00000068709",1
"ENSRNOG00000069410",0
"ENSRNOG00000014903",345
"ENSRNOG00000055477",0
"ENSRNOG00000066157",0
"ENSRNOG00000059537",0
"ENSRNOG00000064304",0
"ENSRNOG00000035530",0
"ENSRNOG00000021051",1694
"ENSRNOG00000069804",0
"ENSRNOG00000055569",0
"ENSRNOG00000011160",0
"ENSRNOG00000063599",0
"ENSRNOG00000017748",0
"ENSRNOG00000067237",0
"ENSRNOG00000065307",0
"ENSRNOG00000016227",2954
"ENSRNOG00000070826",0
"ENSRNOG00000013395",114
"ENSRNOG00000016906",136
"ENSRNOG00000066860",0
"ENSRNOG00000069365",6
"ENSRNOG00000062499",0
"ENSRNOG00000067821",0
"ENSRNOG00000070448",0
"ENSRNOG00000063062",71
"ENSRNOG00000036303",0
"ENSRNOG00000067171",17
"ENSRNOG00000065290",0
"ENSRNOG00000055366",0
"ENSRNOG00000052293",1
"ENSRNOG00000027582",0
"ENSRNOG00000070096",0
"ENSRNOG00000064522",0
"ENSRNOG00000035532",0
"ENSRNOG00000009830",56
"ENSRNOG00000066257",0
"ENSRNOG00000012742",42
"ENSRNOG00000063184",0
"ENSRNOG00000069837",0
"ENSRNOG00000069135",7
"ENSRNOG00000064137",29
"ENSRNOG00000071210",0
"ENSRNOG00000067491",0
"ENSRNOG00000064435",0
"ENSRNOG00000065990",0
"ENSRNOG00000065939",0
"ENSRNOG00000013767",88
"ENSRNOG00000063387",0
"ENSRNOG00000052521",0
"ENSRNOG00000067619",39
"ENSRNOG00000062791",0
"ENSRNOG00000032699",18
"ENSRNOG00000035616",0
"ENSRNOG00000069698",0
"ENSRNOG00000063324",0
"ENSRNOG00000058041",0
"ENSRNOG00000063227",0
"ENSRNOG00000018408",447
"ENSRNOG00000064960",0
"ENSRNOG00000030782",0
"ENSRNOG00000016421",0
"ENSRNOG00000058299",0
"ENSRNOG00000018334",400
"ENSRNOG00000070685",0
"ENSRNOG00000060004",0
"ENSRNOG00000069399",0
"ENSRNOG00000067907",260
"ENSRNOG00000014726",2
"ENSRNOG00000063196",0
"ENSRNOG00000060273",0
"ENSRNOG00000070216",0
"ENSRNOG00000051969",0
"ENSRNOG00000023407",1743
"ENSRNOG00000035654",0
"ENSRNOG00000061890",0
"ENSRNOG00000010529",1429
"ENSRNOG00000012684",503
"ENSRNOG00000069040",0
"ENSRNOG00000014258",1136
"ENSRNOG00000010918",211
"ENSRNOG00000066483",0
"ENSRNOG00000051780",30
"ENSRNOG00000067027",3032
"ENSRNOG00000035560",0
"ENSRNOG00000019416",328
"ENSRNOG00000017366",0
"ENSRNOG00000053012",0
"ENSRNOG00000059864",0
"ENSRNOG00000053838",0
"ENSRNOG00000068567",0
"ENSRNOG00000063945",0
"ENSRNOG00000066101",7
"ENSRNOG00000057261",0
"ENSRNOG00000070161",0
"ENSRNOG00000065242",0
"ENSRNOG00000063217",3
"ENSRNOG00000036631",0
"ENSRNOG00000066494",0
"ENSRNOG00000016659",0
"ENSRNOG00000059820",3
"ENSRNOG00000049846",0
"ENSRNOG00000014946",492
"ENSRNOG00000070965",0
"ENSRNOG00000065570",0
"ENSRNOG00000069390",0
"ENSRNOG00000020318",439
"ENSRNOG00000047406",0
"ENSRNOG00000070104",19
"ENSRNOG00000050445",2411
"ENSRNOG00000069614",0
"ENSRNOG00000069896",3
"ENSRNOG00000035565",0
"ENSRNOG00000031110",0
